"","residues","dis_regions","dis_residues","longest","pct","avg"
"vlxt",1214,21,748,87,61.61,0.5627
"vl3",1214,5,1025,515,84.43,0.7116
"vsl2",1214,12,1066,260,87.81,0.7373
